sample,trophic_prediction
sample1_species1,Het
sample2_species1,Het
sample3_species1,Phot
sample4_species1,Phot
sample5_species1,Mix
sample6_species1,Het
sample7_species1,Phot
sample8_species1,Phot
sample9_species1,Phot
sample10_species1,Phot
sample1_species2,Het
sample2_species2,Phot
sample3_species2,Het
sample4_species2,Het
sample5_species2,Phot
sample6_species2,Phot
sample7_species2,Phot
sample8_species2,Het
sample9_species2,Phot
sample10_species2,Phot
